timestamp [s];actual_current [A];target_current [A];motor_torque [N.m];paddle_pos [deg];paddle_speed [deg/s];Compensate gravity;Compensate dry friction);Compensate viscous friction;paddle_pos_filt [deg];paddle_speed_filt [deg/s];Wall;Virtual Spring;Virtual Damping;Cuttoff Frequnecy Angle;Cuttoff Frequnecy Speed;emg_signal;led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
321.1789;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.218559265;0;0;0;0
321.17995;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.220390677;0;0;0;0
321.181;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.219169736;0;0;0;0
321.18205;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.227106214;0;0;0;0
321.1831;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.2124542;0;0;0;0
321.1838;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.275335789;0;0;0;0
321.18485;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.2448107;0;0;0;0
321.1859;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.22344327;0;0;0;0
321.18695;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.229548216;0;0;0;0
321.188;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.220390677;0;0;0;0
321.18905;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.194749713;0;0;0;0
321.1901;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.178876638;0;0;0;0
321.1908;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.14896214;0;0;0;0
321.19185;-0.0239585191;-0.02370407991;0.0008201611927;-14.98828125;0;1;1;1;0.01171875;7.006492322e-45;1;0.009999999776;9.999999747e-05;50;50;1.193528652;0;0;0;0
